Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1836
Last updated 01-Aug-2023 10:44
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
  197.8  1928  213.7  2020  153.9  1981  128.2  2012  131.7  1967  149.0  2012  150.5  1988  166.8  1912  178.5  1950  219.8  1903  215.0  2009  216.9  2015   540.3  2014   327.0  1979   397.1  1879   509.8  2000  1437.8  1872
  189.3  2008  193.3  1990  147.4  1903  123.8  2000  121.0  2021  143.1  1860  145.5  2009  166.6  1917  178.0  1918  199.6  2000  191.7  1951  209.2  1929   505.7  2016   326.9  1947   381.1  1912   466.3  1954  1372.5  2000
  187.0  2014  175.2  2002  146.3  1994  121.1  1998  119.8  1924  136.2  2007  143.5  1939  162.9  1992  172.4  1981  196.8  1967  187.9  1940  196.9  1914   498.2  1995   313.9  1986   378.7  2012   464.9  1935  1343.5  1903
  181.0  1995  171.1  1848  143.9  1979  117.6  1947  118.4  1986  129.3  1872  142.6  1936  159.7  2004  159.5  1866  187.7  1998  186.5  1852  195.5  1999   482.2  1990   311.4  1913   356.8  2007   455.3  1981  1334.1  2020
  178.7  2016  168.3  1997  138.8  1947  114.4  1867  118.1  1925  126.5  1879  142.2  1888  158.5  1956  156.7  1869  182.7  2020  185.5  1929  191.3  1852   474.5  2020   307.8  1920   354.5  1985   447.0  1872  1329.6  2012
  177.5  1948  167.8  2014  132.0  2023  106.7  1920  114.5  1878  125.4  1980  140.1  2023  158.3  1985  152.8  1927  171.5  1938  180.6  1954  190.9  1868   458.0  1877   294.5  1967   354.3  1956   440.0  1984  1325.5  1877
  175.5  1993  151.7  1923  129.3  1897  103.0  1882  114.2  2007  123.5  1912  134.7  2007  155.9  1891  150.4  1935  171.1  1935  176.4  2000  189.6  1876   450.7  1915   294.2  1983   338.5  1860   422.1  1982  1298.4  1998
  174.4  1852  151.3  2022  128.9  2019  102.6  1993  112.8  1886  122.7  1848  134.6  1880  146.1  1903  150.1  1896  168.2  1916  174.1  1970  188.8  1993   439.6  1869   292.4  1981   336.2  1877   420.0  2022  1297.8  1954
  172.3  1974  143.0  1995  128.3  1913  102.1  1913  112.6  2006  121.8  1998  130.7  1940  143.2  1879  146.4  1946  167.8  1932  172.0  2015  188.0  1986   435.8  2007   290.5  2006   335.0  1927   412.0  1938  1293.2  2008
  170.2  1984  140.8  1894  127.9  1992   99.8  1961  109.9  2015  117.8  1838  127.4  1879  142.8  1962  146.0  1885  167.8  2021  171.3  1984  185.5  2013   431.4  1994   290.4  1994   334.5  1872   411.1  1944  1292.8  2014
