Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for UK
Areal series, starting in 1910
Last updated 01-Aug-2023 10:44
    jan  year    feb  year    mar  year    apr  year    may  year    jun  year    jul  year    aug  year    sep  year    oct  year    nov  year    dec  year     win  year     spr  year     sum  year     aut  year     ann  year
   69.7  1959  101.3  2008  166.9  1929  223.8  2021  266.9  2020  265.1  1957  256.9  1955  259.4  1947  172.2  1959  120.0  2003   78.9  1925   64.0  2001   193.0  1963   626.0  2020   672.1  1976   341.3  1959  1586.3  2003
   66.5  2001   99.1  2019  165.7  2022  223.0  2020  243.1  1989  264.4  1940  250.4  1911  251.2  1995  163.2  1911  119.6  1959   77.4  2005   56.7  2014   191.7  2018   555.4  1948   664.6  1995   333.1  1971  1579.5  1995
   63.6  2022   98.0  2018  157.7  2003  211.8  2015  240.6  2018  248.2  1925  249.7  2006  240.9  1976  160.7  1991  114.1  1997   77.1  2006   54.4  2008   190.7  2015   530.1  1929   656.5  1911   330.3  2003  1560.1  2018
   63.1  2023   94.4  1970  149.8  2012  205.4  1942  237.8  1948  247.5  2023  247.4  2013  208.4  2022  160.0  1928  113.9  1971   76.0  1988   52.9  1962   189.7  2001   525.3  1990   645.8  1989   314.4  1986  1555.9  1989
   61.3  1952   93.4  2003  143.8  1948  203.3  2007  234.8  1992  246.6  1975  244.6  1989  201.1  1911  158.7  1914  111.5  1919   75.6  1996   50.1  2009   187.6  2000   519.2  2007   623.1  1975   306.0  1911  1548.5  1955
   60.0  2003   92.7  1949  143.0  1933  202.3  1914  225.0  1990  243.1  1949  239.4  1990  197.7  2003  157.6  1933  111.4  2018   75.3  1989   49.8  1946   186.1  2019   513.6  2011   615.5  2018   305.9  1996  1542.1  1911
   59.6  1963   87.7  1988  141.8  2007  202.3  2011  223.5  1980  235.8  1960  234.0  2018  196.5  1975  151.9  2015  108.8  2008   74.3  2016   49.4  2022   184.5  2003   513.0  2009   605.1  1949   305.9  1928  1537.7  2022
   59.5  1965   86.8  2004  139.2  2009  201.9  1984  219.9  2001  234.4  2018  226.9  1935  190.3  1933  151.6  1971  108.7  1922   71.9  1923   49.1  1961   184.0  1949   509.9  2003   596.0  1955   305.7  2018  1531.3  1959
   59.3  1991   84.5  2016  138.5  1955  195.6  1912  217.8  1977  231.7  1970  224.3  1934  190.1  1983  151.5  1964  105.7  1931   70.8  1977   49.0  1967   183.5  2008   506.6  2015   591.9  2006   301.8  1997  1527.8  1949
   58.4  2015   83.0  2001  136.1  2020  186.9  1990  215.7  1935  230.8  1969  223.8  1976  189.9  1989  150.4  1915  104.7  2022   70.8  2017   48.6  1929   182.7  2023   505.4  1955   587.3  1933   301.3  1929  1498.0  2020
   58.2  2012   82.7  1996  132.6  1995  182.4  1921  214.5  1959  220.8  1921  221.9  2014  183.5  1991  150.2  1929  104.6  2010   70.0  2013   48.3  1999   179.2  1952   503.2  1956   584.6  2022   301.1  1921  1489.5  1929
   57.9  2000   82.4  1989  132.4  1982  181.6  2003  213.1  1943  220.1  1996  213.0  1984  183.3  1919  150.1  1986  104.5  2016   69.9  1915   47.1  1976   174.0  2004   499.4  1982   584.0  1959   300.2  1964  1481.9  1921
   54.7  2017   81.7  1960  131.7  1967  181.4  2010  212.9  1915  213.8  1930  211.5  1971  182.1  2005  146.7  1997  104.4  1995   69.2  1973   47.0  1960   170.2  1962   496.3  2010   575.3  1940   299.8  2006  1481.5  1990
   54.7  1933   81.4  2000  131.1  1931  179.8  1954  212.5  2009  213.7  1939  210.6  1983  181.1  1955  146.2  2003  102.9  1921   69.1  1947   46.8  1948   168.7  2002   491.1  1921   575.2  1996   299.5  1923  1479.5  1975
